VENDOR PART#,MANUFACTURER PART #,DESCRIPTION,MSRP,CONTRACT_PRICE,QUANTITY ON HAND,MANUFACTURER_NAME,CATEGORY,SERIAL_FLAG,WEIGHT
APG-T381BL1616M5,T381-BL1616-M5,S100 BLACK 16X16 GBP 4B/8C 4BILL 8COIN L,193.15,102.14,2,APG CASH DRAWER,APG,Y,21.407
APG-T381CW1616M1,T381-CW1616-M1,S100 WHITE 16X16 EUR 5B/8C 5BILL 8COIN L,197.15,102.14,0,APG CASH DRAWER,APG,Y,21.407
APG-T381CW1616M5,T381-CW1616-M5,S100 WHITE 16X16 GBP 4B/8C 4BILL 8COIN L,197.15,102.14,0,APG CASH DRAWER,APG,Y,21.958
APG-T4801BL1616M1E2,T480-1-BL1616-M1-E2,S100 BLACK 16X16 NETPRO INTRFCBARCODE AU,450.17,230.56,4,APG CASH DRAWER,APG,Y,22.553
APG-T4801BL1616M5E2,T480-1-BL1616-M5-E2,S100 BLACK 16X16 NETPRO INTRFCBARCODE AU,493.65,209.51,0,APG CASH DRAWER,APG,Y,22.333
APG-T4881BL1616M5E2,T488-1-BL1616-M5-E2,S100 BLACK 16X16 NETPRO WIFI Ether.w/ ba,387.54,226.51,0,APG CASH DRAWER,APG,Y,22.553
APG-T4901BL1616M1,T490-1-BL1616-M1,S100 BLACK 16X16 EUR 5B/8C W/POE NetPRO,441.16,281.71,0,APG CASH DRAWER,APG,Y,30.6
APG-T520BL1616,T520-BL1616,"S100, 12V/24V MULTIPRO, BLACKSIZE 16"" X",193.15,100.08,11,APG CASH DRAWER,APG,Y,21.35
APG-T520BL1616M1,T520-BL1616-M1,S100 BLACK 16X16 EUR 12V/24V 5B/8C,149.58,91.14,0,APG CASH DRAWER,APG,Y,21.341
APG-T554ABL1616M1,T554A-BL1616-M1,S100 BLACK 16X16 EUR 5B/8C USB2,229.56,146.56,0,APG CASH DRAWER,ACD,Y,23.369
APG-V14B3A,V-14B-3A,Till Cover 1416,8.82,12.64,0,APG CASH DRAWER,AC1,N,2.601
APG-V14B4,V-14B-4,Till Cover 1616,22.06,12.64,0,APG CASH DRAWER,AC1,N,2.601
APG-V14B6,V-14B-6,LOCKING TILL COVER VASAR&1517FLAT B5 ONL,196.75,112.72,0,APG CASH DRAWER,AC1,N,28.219
APG-V14B6DUSS,V-14B-6-DUSS,LOCKING TILL COVER VASAR&1517FLAT B5 ONL,271.31,155.47,0,APG CASH DRAWER,AC1,N,22.487
APG-V15B5,V-15B-5,TILL EURO/STERLING VASAR&15178COIN/4NOTE,250.4,143.55,0,APG CASH DRAWER,AC1,N,26.896
APG-V15B5DUSS,V-15B-5-DUSS,TILL EURO/STERLING VASAR&15178COIN/4NOTE,324.96,186.18,0,APG CASH DRAWER,AC1,N,26.896
